battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_reflected,deaths,defensive_assists,dragonblade_kills,dragonblades,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,82862,17568,0,0.12,168,23837,107,0,24,31,168,0,88,5,8,0,3,0,64731,20,6,7,7,7,4,58,326,0,0,0,0,11,0,3600,468,9,0.32,0.38
PapaGlitchy#2651,2409,14183,2337,0,0.06,16,3255,11,0,8,7,34,0,17,1,1,0,0,0,11601,3,2,0,1,0,0,11,100,0,0,0,0,2,0,780,186,0,0.31,0
Wreck#1473,4172,12399,3968,0,0.09,19,2496,8,0,3,5,26,0,14,0,1,0,1,0,7983,2,0,1,1,2,0,11,76,0,1,0,0,1,0,780,88,2,0.26,0.59
Jeremos#2358,3516,1224302,0,39,0.07,1519,238431,843,0,819,568,2940,0,1612,27,80,5,49,0,0,246,77,98,71,132,74,1001,6948,0,0,0,0,402,5,64800,12309,58,0.4,0.61
EFFECT#31318,1958,81613,19076,1,0.08,98,17009,82,0,35,36,158,0,80,3,7,0,4,0,60695,19,8,3,8,8,1,54,591,0,1,0,0,14,0,3600,313,0,0.27,0.52
Trigga#11180,3522,75747,18870,0,0.11,134,13382,62,0,24,29,154,0,76,3,6,0,3,0,55873,13,3,5,5,8,1,56,352,0,0,0,0,12,0,3600,161,0,0.29,0.47
DarkLight#12251,1895,24411,7599,1,0.07,31,6341,19,0,12,6,47,0,33,1,2,0,0,0,14557,5,1,3,1,1,1,16,125,0,1,0,2,8,1,1560,322,7,0.33,0.05
xFunStyle#2648,2450,83161,16439,4,0.07,112,13957,72,0,34,26,172,0,88,4,7,0,3,0,64263,18,4,9,5,5,3,73,623,0,0,0,0,25,0,3600,663,5,0.31,0.38
Oppenheimer#11894,3069,8955,1651,0,0.08,15,1374,13,0,3,4,12,0,6,1,1,0,0,0,7176,1,0,0,0,2,0,6,59,0,0,0,0,1,0,540,0,1,0.28,0.29
storm#14477,2704,21560,4726,0,0.06,28,2878,17,0,5,8,38,0,21,1,2,0,1,0,16801,7,3,1,2,3,1,14,157,0,0,0,0,2,0,1320,36,0,0.32,0.36
QuietJosh#11373,3980,2946,775,0,0.09,7,194,3,0,0,1,3,0,1,1,1,0,0,0,2103,1,0,1,1,0,0,0,5,0,0,0,0,0,0,180,0,0,0.29,0
Lucario#21542,2887,336817,87772,11,0.09,469,64131,224,0,149,118,721,1,374,11,26,0,14,0,242774,66,21,23,22,34,7,252,1869,0,0,0,0,67,1,14400,2516,30,0.28,0.56
Kephrii#11655,2797,32132,6396,0,0.09,38,8460,41,0,11,12,58,0,29,1,3,0,2,0,25335,7,4,2,1,1,0,19,190,0,0,0,0,4,0,1920,124,0,0.32,0.59
Cybernator#11620,2661,25622,8229,1,0.07,25,5227,39,0,9,11,58,0,22,2,2,0,0,0,16874,4,2,1,0,4,1,22,166,0,0,0,0,4,0,1860,272,6,0.24,0.21
Crayator#11430,3190,8886,578,0,0.03,7,1229,11,0,4,3,15,0,9,0,1,0,0,0,8068,1,1,0,1,1,0,5,126,0,1,0,0,1,0,600,19,0,0.25,0.65
Snake#11194,2280,433,224,0,0.25,1,57,1,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0.1,1.0
SCOPE#11903,3580,8184,2020,0,0.14,17,1250,10,0,3,3,14,0,9,0,1,0,0,0,5982,2,1,0,1,0,0,8,53,0,0,0,0,4,0,420,7,0,0.32,0.52
Jackey#11578,2445,4275,2086,0,0.04,5,252,2,0,0,1,5,0,1,0,0,0,0,0,2189,0,0,0,0,0,0,2,14,0,0,0,0,0,0,180,0,0,0.39,1.0
Mom#12879,2936,30576,8426,3,0.09,40,3128,15,0,16,10,68,0,33,0,2,0,2,0,21813,6,1,4,2,5,1,38,121,0,0,0,0,2,0,1080,236,1,0.41,1.0
cronic#11246,3472,1064,530,0,0.08,1,881,3,0,0,0,2,0,2,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.13,0
Eoii#1379,2728,9199,1166,0,0.1,20,1350,10,0,2,4,21,0,6,1,1,0,0,0,7954,1,0,0,0,1,0,9,66,0,0,0,0,0,0,660,20,0,0.25,0.3
Mariposa#31240,3446,5228,850,0,0.13,12,624,4,0,1,3,8,0,2,0,1,0,0,0,4378,2,1,1,0,1,0,2,66,0,0,0,0,1,0,360,0,0,0.21,0.35
dunk#11522,2877,43672,0,1,0.05,47,8191,37,0,16,16,52,0,31,2,3,0,1,0,0,8,2,2,4,1,1,10,168,0,0,0,0,9,0,2220,80,7,0.4,0.34
BeSmart#2935,2416,81104,21509,0,0.06,136,13071,94,0,26,29,140,0,65,6,9,0,3,0,57669,20,8,4,8,3,3,42,307,0,0,0,0,14,0,3600,123,4,0.33,0.29
Casual#11993,2599,495458,152090,6,0.09,748,78565,318,0,183,144,903,1,398,16,36,1,19,0,334732,97,41,26,30,17,14,374,2777,0,0,0,0,52,1,21600,2191,17,0.31,0.54
youngfoon#1565,1930,68071,12747,1,0.08,119,15532,69,0,20,19,141,0,68,6,10,1,4,0,54309,30,13,7,10,8,1,68,452,0,1,0,0,9,0,3600,128,12,0.24,0.39
neonnami#2407,2287,6322,0,0,0.1,11,752,6,0,3,2,12,0,6,0,1,0,0,0,0,1,0,0,1,0,0,3,61,0,0,0,0,3,0,420,63,0,0.22,0.79
KyRix#11196,2502,180849,34488,6,0.07,308,28420,143,0,83,68,354,1,216,7,13,1,4,0,141311,36,11,13,13,6,6,116,854,0,0,0,0,52,0,7200,1371,13,0.37,0.37
oPepper#1863,2069,8940,3275,0,0.14,16,1864,7,0,5,3,17,0,7,0,1,0,1,0,5615,4,2,2,0,0,0,11,70,0,0,0,0,0,0,540,0,0,0.26,0.91
sora#2593,1881,7838,1866,0,0.04,9,2258,9,0,0,2,22,0,14,1,1,0,1,0,5972,2,1,0,1,0,0,5,40,0,0,0,0,2,0,840,38,0,0.27,0.44
Samurai#1849,1735,277025,74151,6,0.08,360,46373,259,0,94,107,494,0,263,13,26,0,12,0,193029,68,17,20,31,6,2,173,1590,0,0,0,0,76,2,14400,999,69,0.28,0.48
Drgalaxy#21722,2817,309452,70127,7,0.07,380,69564,283,0,112,118,660,0,312,11,27,1,15,0,233965,64,27,16,22,11,8,198,1518,0,0,0,1,64,0,18000,1589,6,0.3,0.57
jeremychang#3761,3193,27588,4345,0,0.1,50,3998,21,0,16,12,67,0,34,3,3,0,0,0,22752,7,3,2,2,1,0,29,310,0,1,0,0,4,0,1680,196,0,0.26,0.14
Aishan#2839,2314,1219,0,0,0.02,1,28,2,0,0,0,2,0,1,0,0,0,0,0,1218,0,0,0,0,0,0,2,12,0,0,0,0,1,0,60,0,0,0.32,1.0
Mexi#11525,3358,20552,3504,1,0.1,41,8768,17,0,10,8,37,0,26,1,2,0,1,0,16817,4,1,3,1,1,0,10,65,0,0,0,0,7,0,1260,219,2,0.31,0.53
Lorenzo#11759,2514,10014,2702,0,0.07,10,582,7,0,3,3,21,0,10,0,1,0,1,0,7311,1,1,1,0,1,0,11,53,0,0,0,0,2,0,480,45,0,0.36,1.0
Giftasaurus#1251,2691,40974,8064,0,0.08,54,7486,35,0,19,18,103,0,44,3,5,0,3,0,32375,12,5,2,4,2,0,43,354,0,0,0,0,7,0,3120,76,3,0.27,0.51
Young#1382,2968,2904834,0,72,0.07,4481,597835,2460,0,1522,1443,6420,0,3210,99,209,10,100,0,0,556,188,174,194,100,123,2177,17333,0,0,0,0,737,40,172800,19763,136,0.3,0.47
AGK#21512,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
SpaceBilly#2930,2163,2425,814,0,0.06,4,301,1,0,0,0,7,0,1,0,0,0,0,0,1583,1,0,0,0,0,0,5,16,0,0,0,0,0,0,180,0,0,0.28,0.63
Pistola#11768,3000,82892,12994,3,0.08,133,10961,65,0,34,31,166,0,92,3,7,0,4,0,68593,21,4,11,6,4,2,51,369,0,0,0,0,24,0,3600,645,1,0.3,0.61
Vandl#11159,2255,22428,4547,0,0.08,31,4372,25,0,14,11,51,0,24,1,2,0,1,0,17138,3,2,0,0,2,1,19,161,0,0,0,0,10,1,1560,76,3,0.27,0.58
Jordan#12225,2162,62653,11453,0,0.05,62,7090,62,0,23,26,142,1,67,3,5,0,2,0,50675,13,5,4,4,6,0,65,751,0,0,0,0,9,0,3600,498,0,0.26,0.35
SubZer0#1985,3939,1370,330,0,0.06,2,211,3,0,0,0,4,0,1,0,0,0,0,0,1040,0,0,0,0,0,0,1,6,0,0,0,0,0,0,120,0,0,0.29,1.0
Diggums#11308,3196,1150129,258706,33,0.1,1890,167150,719,0,536,428,2479,0,1239,31,85,3,51,0,873138,253,64,84,106,91,31,1024,7861,0,1,0,2,225,0,61200,8369,58,0.3,0.62
Vasso2317#1450,2281,36697,12887,0,0.09,50,7595,21,0,15,11,82,0,46,0,3,0,3,0,22981,10,2,2,7,3,1,41,264,0,0,0,0,7,0,1800,121,1,0.27,0.96
JOHNSON#12613,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
burritoh#1532,1772,2288,0,0,0,0,549,2,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,1,60,0,0,0.6,0.64
Atlas#11100,2560,28331,9039,0,0.06,27,6394,22,0,11,9,30,0,14,1,2,0,1,0,18800,4,1,2,1,0,0,14,194,0,0,0,0,2,0,1200,102,0,0.31,0.41
Cherrem#1305,2666,1589,282,0,0.12,3,368,2,0,1,1,5,0,2,0,0,0,0,0,1307,1,0,0,1,0,0,2,25,0,0,0,0,0,0,120,0,0,0.23,0
joebloggie#2551,3204,273874,56582,7,0.11,520,48866,234,0,125,102,559,0,300,9,20,1,9,0,210294,52,15,14,22,9,6,188,1376,0,0,0,0,54,1,14400,1673,27,0.36,0.49
texnoz#2587,3754,47107,11290,0,0.06,62,5987,43,0,20,16,94,0,42,1,3,0,2,0,34259,9,3,3,2,2,1,34,279,0,0,0,0,5,0,2520,429,6,0.36,0.54
Phantoms#11321,2253,183586,39103,5,0.07,244,43456,142,0,93,71,454,0,204,5,16,0,10,0,140470,50,18,20,12,20,6,209,1805,0,0,0,0,35,1,10800,1700,12,0.28,0.65
slayze#2649,3244,11257,3907,0,0.15,22,1313,7,0,6,4,21,0,15,1,1,0,0,0,7275,1,0,1,0,2,0,4,94,0,0,0,0,2,0,600,40,0,0.26,0.36
bluefiftytwo#2230,2563,5454,1118,0,0.09,11,1158,6,0,2,2,11,0,4,1,1,0,0,0,4290,1,0,1,0,0,0,3,22,0,0,0,0,2,0,360,0,0,0.32,0
Tatarus#2790,2742,2510,724,0,0.13,5,574,1,0,1,1,9,0,1,0,0,0,0,0,1786,0,0,0,0,0,0,5,106,0,1,0,0,0,0,120,43,0,0.29,0
Natedogtwist#1922,3251,23299,2965,0,0.08,39,4967,21,0,10,8,44,0,29,1,2,0,1,0,20331,4,1,1,3,1,1,12,146,0,0,0,0,7,0,1440,232,0,0.36,0.61
Nafalgar#2728,3114,15317,2458,0,0.09,33,2198,21,0,7,6,28,0,13,1,1,0,0,0,11549,4,2,1,1,1,0,8,65,0,0,0,0,2,0,1080,31,3,0.38,0.33
Fabsomat#21989,2133,101482,24854,1,0.07,101,28993,109,0,38,39,212,0,100,5,9,0,5,0,72017,29,12,8,9,13,2,95,959,0,0,0,0,21,0,3600,617,11,0.29,0.51
Chexmix#11263,2206,826,308,0,0.23,3,356,1,0,0,0,1,0,1,0,0,0,0,0,518,0,0,0,0,0,0,1,3,0,0,0,0,0,0,60,0,0,0.19,0
DoctorWho#2843,2992,297114,56180,12,0.11,619,56773,177,0,137,94,634,1,363,8,21,1,12,0,234897,69,17,35,17,18,9,213,1991,0,0,0,1,92,1,14400,2775,30,0.37,0.61
Slothlife#11811,1962,162,0,0,0.33,1,0,1,0,0,0,1,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0.25,0
Bry#11802,3104,82910,13636,2,0.11,166,14032,73,0,39,33,185,0,102,3,6,0,3,0,68721,19,7,8,4,3,4,65,470,0,0,0,0,8,0,3600,1006,2,0.3,0.47
abilities#11376,4574,358060,64917,9,0.11,665,58118,219,0,164,133,749,1,412,8,19,0,11,0,290362,56,13,28,16,56,9,184,1179,0,0,0,0,75,0,14400,3592,2,0.31,0.58
DRotante#1736,2067,10409,4867,0,0.08,14,1078,17,0,0,3,8,0,4,0,1,0,1,0,5435,4,2,1,1,0,0,2,43,0,0,0,0,0,0,720,0,2,0.2,0.87
DeadGiveAway#11742,2779,36785,9474,0,0.09,48,3792,26,0,15,12,73,0,32,2,2,0,1,0,27176,4,2,0,2,3,2,21,232,0,0,0,0,4,0,1860,267,0,0.26,0.23
Stealthless#11272,3320,3518,826,0,0.16,9,573,7,0,1,2,5,0,4,0,0,0,0,0,2692,0,0,0,0,0,0,1,25,0,0,0,0,0,0,240,0,0,0.23,0
Nikkex#21517,3505,3175,364,0,0.15,8,540,6,0,0,1,2,0,2,1,1,0,0,0,2811,1,1,0,0,0,0,0,7,0,0,0,0,0,0,360,0,0,0.22,0
VisAbsoluta#21404,3658,1055,0,0,0,0,742,3,0,0,1,3,0,2,0,0,0,0,0,1055,0,0,0,0,1,0,1,5,0,1,0,0,0,0,60,0,0,0.23,1.0
Fade#12531,2553,353626,85537,10,0.09,495,65871,259,0,176,138,682,0,360,13,28,2,13,0,261689,70,24,27,18,22,9,248,2298,0,0,0,0,78,3,18000,2382,18,0.27,0.49
Barsoune#2299,3261,833,143,0,0.12,2,522,2,0,0,0,0,0,0,0,0,0,0,0,690,1,0,0,0,0,0,0,3,0,0,0,0,0,0,60,0,0,0.21,0
JazuKnight#2709,1370,109977,16143,10,0.11,197,19128,69,0,78,48,341,0,189,2,13,1,10,0,90727,41,10,22,9,20,2,137,1083,0,1,0,0,67,0,3600,1598,16,0.31,0.81
C3RVYT#1882,2595,1716,302,0,0.13,4,0,1,0,0,0,10,0,3,0,0,0,0,0,1414,1,0,0,0,2,0,7,32,0,1,0,0,1,0,120,0,0,0.21,0.41
X69X420X69XD#1507,2098,158295,37936,6,0.07,263,17651,88,0,74,50,310,0,198,6,10,0,4,0,118247,31,2,21,8,16,5,112,821,0,0,0,0,40,1,3600,1910,13,0.45,0.41
Tree#12796,3157,535,324,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,3,0,0,0,0,0,0,41,0,0,0.14,0
MalusPuer#11804,2637,138985,30053,3,0.05,191,34190,119,0,49,51,273,0,150,9,13,0,4,0,105174,34,12,14,9,7,0,106,1085,0,0,0,0,32,1,7200,701,25,0.32,0.31
EltsuEltsu#2746,2301,3487,0,0,0.03,2,0,3,0,5,2,10,0,8,0,0,0,0,0,0,2,1,0,1,2,0,2,33,0,0,0,0,3,0,240,32,0,0.34,1.0
reach#11534,4390,416742,69345,9,0.1,774,58664,262,0,210,180,913,0,496,12,28,1,14,0,340654,76,15,37,24,52,7,259,1610,0,0,0,0,73,0,21600,3853,10,0.3,0.52
BennyPK#1546,2258,70148,12549,0,0.09,104,14352,93,0,27,31,143,0,79,4,6,0,2,0,56483,17,9,3,4,6,1,51,549,0,1,0,0,20,0,3600,152,0,0.31,0.32
Lucasizq#1784,2954,67881,23097,2,0.1,87,12252,60,0,29,24,104,0,49,2,5,0,2,0,43741,14,4,7,4,4,2,41,426,0,0,0,0,12,0,3420,244,3,0.3,0.48
Cloky#2828,2157,686,140,0,0,0,125,1,0,0,0,2,0,0,0,0,0,0,0,546,0,0,0,0,0,0,1,12,0,0,0,0,0,0,44,0,0,0.37,0
Lubudubudu#2191,3248,94853,27041,0,0.11,167,15774,67,0,31,32,153,0,77,5,8,0,3,0,65969,21,8,6,7,6,1,58,485,0,1,0,0,16,0,3600,294,6,0.27,0.33
dOko#11129,2626,22005,4431,0,0.07,35,3204,14,0,11,8,53,0,26,0,2,0,1,0,17324,5,2,1,2,2,2,15,125,0,0,0,0,12,0,1080,131,0,0.37,0.75
Dragin#1467,500,11265,0,0,0.04,12,2575,16,0,2,6,17,0,10,1,2,0,1,0,0,4,1,1,2,2,0,5,112,0,0,0,0,4,0,1260,0,6,0.25,0.63
Liam#22919,3675,68580,10476,4,0.09,128,16791,69,0,44,31,197,0,124,1,6,0,5,0,57250,17,3,6,8,10,4,49,419,0,0,0,0,21,0,3600,988,2,0.34,0.81
Taimou#3401,2228,54439,14371,0,0.08,70,10519,45,0,22,20,97,0,47,3,4,0,1,0,38976,15,6,2,7,6,1,37,482,0,0,0,0,6,0,3180,172,2,0.28,0.34
Raynaud#11428,3746,50717,16405,0,0.12,83,9718,39,0,12,17,68,0,33,2,3,0,1,0,33772,8,3,2,3,7,0,25,247,0,0,0,0,8,0,2400,198,0,0.31,0.42
Itori#21104,2603,65866,17969,2,0.07,76,12681,50,0,29,24,118,0,63,3,6,0,3,0,47387,14,4,5,5,0,1,42,391,0,0,0,0,14,0,3420,147,1,0.26,0.51
Seagull#11685,2981,73393,16800,1,0.12,135,13696,91,0,30,29,125,0,69,5,8,0,3,0,55724,19,8,4,8,7,0,33,309,0,0,0,0,11,0,3600,202,0,0.25,0.4
Mentaur#21734,2704,4449,1596,0,0.04,3,659,7,0,1,1,8,0,5,0,0,0,0,0,2853,1,0,0,1,1,0,1,19,0,1,0,0,2,0,300,4,0,0.22,0.87
Nikiradia#1801,2414,17095,3517,0,0.09,32,2774,19,0,4,7,26,0,13,1,1,0,0,0,13465,4,2,1,1,0,0,12,130,0,0,0,0,1,0,1080,41,0,0.36,0.23
Strawberrys#11911,2995,1591,716,0,0.2,5,433,2,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,0,4,0.24,0
Tommy#14384,4011,3942,1770,0,0.02,1,1119,5,0,1,1,5,0,5,0,0,0,0,0,1856,1,0,0,0,0,0,1,17,0,0,0,0,1,0,240,0,0,0.22,0
Avengedraugt#1972,1821,280,196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.25,0
WolfgangIsMe#1825,2027,4014,252,1,0.1,6,1758,6,0,1,2,6,0,4,1,1,0,0,0,3693,2,1,1,1,0,0,3,31,0,0,0,0,1,0,300,0,0,0.42,0
TrenDos#1913,3421,111889,0,3,0.06,150,21694,73,0,47,37,223,1,120,2,7,0,5,0,0,22,6,10,5,12,6,80,604,0,0,0,0,28,0,3600,859,24,0.38,0.72
Forten14#1796,1927,858,84,0,0.03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,0,5,0,0,0,0,0,0,58,0,0,0.45,0
Chester#2158,1803,17971,3097,0,0.06,22,4001,24,0,8,6,46,0,27,1,2,0,1,0,14871,4,3,0,1,1,0,11,85,0,0,0,0,6,0,1380,79,0,0.3,0.68
LudFen#2793,1959,10357,2627,0,0.04,6,2309,14,0,3,4,15,0,6,1,1,0,0,0,7352,3,1,1,1,0,0,6,38,0,0,0,0,2,0,660,0,1,0.19,0
FlapJack#12911,2092,55784,9438,0,0.08,79,11853,58,0,32,22,109,0,65,3,5,0,2,0,46069,12,5,2,5,7,1,47,329,0,0,0,0,18,0,3360,321,1,0.27,0.35
Joker#210741,1807,2246,362,0,0.11,4,1033,6,0,1,1,1,0,1,0,0,0,0,0,1736,2,0,1,1,0,0,1,13,0,0,0,0,0,0,180,0,0,0.33,0
ScottyPlays#2391,2855,800488,0,5,0.06,956,181814,865,0,309,331,1436,1,628,26,58,4,27,0,0,155,74,34,47,42,15,634,6733,0,0,0,2,146,1,50400,2984,51,0.31,0.46
RaccoonTWB#2254,2493,6629,0,0,0.12,22,1655,6,0,0,2,11,0,6,0,1,0,0,0,6541,2,1,0,1,0,0,4,57,0,0,0,0,1,0,540,0,0,0.27,0.57
Odnum#2569,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Kaesh#1697,3225,9648,2208,0,0.06,9,1397,6,0,2,4,16,0,11,0,1,0,0,0,7439,1,1,0,0,0,0,2,20,0,1,0,0,0,0,540,0,0,0.28,1.0
ArtiTP#2256,2805,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0.08,0
iceolator#21445,3399,586052,115688,13,0.09,953,84593,437,0,301,239,1314,0,687,21,45,0,24,0,461109,108,35,41,32,39,16,389,2877,0,0,0,0,131,2,28800,5707,27,0.36,0.53
PatrickLai#11943,1905,959225,276585,26,0.08,1202,164783,545,0,423,342,1879,0,930,25,70,2,43,0,671861,182,62,54,65,76,26,728,6333,0,0,0,0,188,2,50400,5694,37,0.3,0.63
Jorduk#1937,2468,240,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0.55,1.0
jabba123#2610,3032,168454,43484,3,0.1,270,35422,130,0,71,66,342,0,163,8,14,0,6,0,123635,38,14,10,14,10,4,99,1025,0,0,0,0,19,0,7200,1083,2,0.31,0.44
Brotherlyluv#1834,2072,39543,10170,0,0.06,47,7670,39,0,19,15,77,0,34,2,4,0,2,0,28820,9,3,2,4,0,0,41,274,0,0,0,0,6,0,2760,146,1,0.26,0.44
Dagade#11469,2507,3306,1357,0,0.23,8,852,6,0,0,1,3,0,1,0,0,0,0,0,1949,1,1,0,0,0,0,3,9,0,0,0,0,0,0,240,0,0,0.23,0.2
obviouscloud#1287,3073,7702,1571,0,0.1,11,813,5,0,4,3,15,0,9,0,1,0,1,0,6131,2,1,1,0,0,1,8,55,0,0,0,0,1,0,360,49,0,0.32,1.0
CsBull3n#2865,3363,958653,170148,23,0.13,2118,149749,890,0,446,340,2190,0,1255,35,78,2,42,0,772022,186,67,60,60,78,34,651,3710,0,0,0,4,278,0,54000,7531,70,0.31,0.54
Doggo#12721,2854,15543,4255,0,0.1,29,2245,11,0,7,5,34,0,17,0,1,0,1,0,11259,3,1,2,0,2,0,10,67,0,0,0,0,3,0,780,38,0,0.3,1.0
CON#31617,3106,45768,4635,2,0.08,79,13243,42,0,21,19,103,0,51,2,4,0,1,0,20476,10,2,4,4,8,0,38,302,0,0,0,0,14,0,2820,159,0,0.28,0.37
LeEmokid#1757,1670,4399,1028,0,0.08,6,1206,5,0,2,1,8,0,4,0,0,0,0,0,3369,1,0,0,1,0,0,2,22,0,0,0,0,1,0,300,21,0,0.24,0
CrissCros2#2891,2463,14582,3002,0,0.09,21,2212,13,0,6,5,15,0,8,1,1,0,0,0,11579,6,1,3,1,1,0,5,75,0,0,0,0,1,0,720,0,1,0.36,0.0
Floki97#21770,2174,11181,1858,0,0.04,11,3765,14,0,2,1,12,0,4,1,1,0,0,0,3861,4,2,2,1,0,0,6,43,0,0,0,0,1,1,660,0,3,0.39,0.05
Oops#22582,2819,66461,13683,0,0.12,151,11726,76,0,24,29,140,0,74,3,7,0,3,0,51536,16,8,4,4,2,1,43,326,0,0,0,0,18,0,3600,148,1,0.3,0.44
Tiltz#11146,3498,172620,31759,0,0.07,275,20231,181,0,88,76,361,0,213,9,13,0,3,0,138653,33,16,8,9,13,6,100,1001,0,0,0,0,49,0,7200,1159,2,0.36,0.27
NoAimNoBrain#1190,2421,131438,32465,3,0.09,185,27166,149,0,47,44,257,0,133,9,13,0,4,0,96807,29,10,7,12,26,6,94,840,0,0,0,1,20,0,7200,694,12,0.33,0.3
Emperor#22346,4343,16102,2267,0,0.12,35,3440,17,0,6,8,34,0,24,1,1,0,0,0,13835,3,1,1,0,2,0,6,73,0,0,0,0,6,0,900,148,0,0.33,0.26
iBanged#2764,3399,63503,14154,1,0.09,94,10606,50,0,28,23,120,0,58,3,6,0,3,0,48461,12,6,5,2,6,0,36,283,0,0,0,0,12,0,3480,240,2,0.26,0.48
JarrettV2#1319,2369,21874,4467,1,0.08,36,4209,26,0,6,4,39,0,21,3,3,0,0,0,16926,7,4,3,0,4,1,16,163,0,0,0,0,8,0,1440,38,0,0.27,0.06
Bolderbast#2408,1392,29537,0,0,0.06,47,7025,57,0,7,13,42,0,21,5,6,0,1,0,0,11,2,4,4,0,0,11,119,0,0,0,0,7,0,3300,0,18,0.26,0.18
Kiseki#11603,2933,8279,1442,0,0.06,13,1564,12,0,4,4,18,0,11,1,1,0,0,0,6431,2,1,1,0,1,1,3,59,0,0,0,1,4,0,600,4,5,0.42,0.44
Sofancy#21809,3143,8507,442,0,0.14,27,1174,5,0,5,4,17,0,9,0,1,0,0,0,8037,1,0,1,1,0,0,4,62,0,1,0,0,2,0,420,70,0,0.37,0.25
BruderSimon#2162,2569,19942,4766,0,0.07,27,4785,24,0,2,7,41,0,19,1,2,0,1,0,14589,3,1,1,1,4,0,13,133,0,0,0,0,3,0,1380,74,3,0.3,0.47
cgmoo#2995,2076,7363,224,0,0.04,9,1509,12,0,0,3,11,0,2,0,1,0,1,0,3147,2,2,0,1,0,0,4,19,0,0,0,0,0,0,720,0,1,0.31,0.54
Zubadar#1739,1510,308,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0.29,0
Kasin#1523,3492,18705,2342,1,0.07,28,2083,20,0,15,9,46,0,28,1,2,0,1,0,15705,4,1,1,2,2,0,8,96,0,1,0,0,5,0,1320,392,2,0.3,0.28
Rolofiend#1318,1823,5455,2500,0,0.1,7,1764,9,0,0,1,7,0,4,1,1,0,0,0,2928,2,1,0,0,0,0,2,32,0,0,0,0,1,0,420,0,0,0.21,0.04
NotEeveeA#1459,2978,265883,54466,12,0.1,442,49486,219,0,124,97,626,0,295,10,25,1,14,0,207037,67,19,25,23,25,14,231,1802,0,0,0,1,58,0,14400,1555,30,0.3,0.58
Cyndakill#21448,2217,19249,6479,1,0.06,18,6407,29,0,6,8,31,0,8,1,2,0,1,0,12081,4,2,1,1,1,1,12,130,0,0,0,0,1,0,1500,19,1,0.27,0.3
WowABadGenji#1409,2129,193664,44543,8,0.1,332,48304,134,0,102,69,401,0,231,9,15,0,6,0,146548,36,7,17,13,7,6,146,1140,0,0,0,0,53,0,7200,2262,5,0.34,0.41
Bnetplayer#239928,3246,33246,8652,2,0.14,63,10400,32,0,13,13,53,0,23,3,4,0,1,0,24071,12,3,6,3,1,1,13,93,0,1,0,0,5,0,1860,111,1,0.32,0.26
Ostry#21497,3311,7024,0,0,0.06,12,837,6,0,2,2,15,0,6,0,0,0,0,0,0,2,0,0,1,0,0,10,64,0,0,0,0,3,0,480,31,3,0.41,1.0
Rantanplan#22339,3122,371,280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,0,0.11,0
evilshadow#11459,2663,10906,3198,0,0.09,18,1013,11,0,5,3,30,0,11,0,1,0,1,0,6893,4,1,1,2,1,0,17,93,0,0,0,0,1,1,660,24,0,0.27,0.71
